case_id,image_path,mask_path,boxes_path
training_glioma_Tr-gl_1,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1.jpg,,
training_glioma_Tr-gl_10,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_10.jpg,,
training_glioma_Tr-gl_100,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_100.jpg,,
training_glioma_Tr-gl_1000,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1000.jpg,,
training_glioma_Tr-gl_1001,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1001.jpg,,
training_glioma_Tr-gl_1002,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1002.jpg,,
training_glioma_Tr-gl_1003,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1003.jpg,,
training_glioma_Tr-gl_1004,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1004.jpg,,
training_glioma_Tr-gl_1005,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1005.jpg,,
training_glioma_Tr-gl_1006,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1006.jpg,,
training_glioma_Tr-gl_1007,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1007.jpg,,
training_glioma_Tr-gl_1008,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1008.jpg,,
training_glioma_Tr-gl_1009,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1009.jpg,,
training_glioma_Tr-gl_101,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_101.jpg,,
training_glioma_Tr-gl_1010,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1010.jpg,,
training_glioma_Tr-gl_1011,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1011.jpg,,
training_glioma_Tr-gl_1012,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1012.jpg,,
training_glioma_Tr-gl_1013,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1013.jpg,,
training_glioma_Tr-gl_1014,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1014.jpg,,
training_glioma_Tr-gl_1015,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1015.jpg,,
training_glioma_Tr-gl_1016,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1016.jpg,,
training_glioma_Tr-gl_1017,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1017.jpg,,
training_glioma_Tr-gl_1018,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1018.jpg,,
training_glioma_Tr-gl_1019,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1019.jpg,,
training_glioma_Tr-gl_102,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_102.jpg,,
