case_id,image_path,mask_path,boxes_path
benign_benign_1,data/Dataset_BUSI_with_GT/benign/benign (1).png,manifests/prepared/busi_masks/benign/benign (1)_combined_mask.png,
benign_benign_10,data/Dataset_BUSI_with_GT/benign/benign (10).png,manifests/prepared/busi_masks/benign/benign (10)_combined_mask.png,
benign_benign_100,data/Dataset_BUSI_with_GT/benign/benign (100).png,manifests/prepared/busi_masks/benign/benign (100)_combined_mask.png,
benign_benign_101,data/Dataset_BUSI_with_GT/benign/benign (101).png,manifests/prepared/busi_masks/benign/benign (101)_combined_mask.png,
benign_benign_102,data/Dataset_BUSI_with_GT/benign/benign (102).png,manifests/prepared/busi_masks/benign/benign (102)_combined_mask.png,
benign_benign_103,data/Dataset_BUSI_with_GT/benign/benign (103).png,manifests/prepared/busi_masks/benign/benign (103)_combined_mask.png,
benign_benign_104,data/Dataset_BUSI_with_GT/benign/benign (104).png,manifests/prepared/busi_masks/benign/benign (104)_combined_mask.png,
benign_benign_105,data/Dataset_BUSI_with_GT/benign/benign (105).png,manifests/prepared/busi_masks/benign/benign (105)_combined_mask.png,
benign_benign_106,data/Dataset_BUSI_with_GT/benign/benign (106).png,manifests/prepared/busi_masks/benign/benign (106)_combined_mask.png,
benign_benign_107,data/Dataset_BUSI_with_GT/benign/benign (107).png,manifests/prepared/busi_masks/benign/benign (107)_combined_mask.png,
benign_benign_108,data/Dataset_BUSI_with_GT/benign/benign (108).png,manifests/prepared/busi_masks/benign/benign (108)_combined_mask.png,
benign_benign_109,data/Dataset_BUSI_with_GT/benign/benign (109).png,manifests/prepared/busi_masks/benign/benign (109)_combined_mask.png,
benign_benign_11,data/Dataset_BUSI_with_GT/benign/benign (11).png,manifests/prepared/busi_masks/benign/benign (11)_combined_mask.png,
benign_benign_110,data/Dataset_BUSI_with_GT/benign/benign (110).png,manifests/prepared/busi_masks/benign/benign (110)_combined_mask.png,
benign_benign_111,data/Dataset_BUSI_with_GT/benign/benign (111).png,manifests/prepared/busi_masks/benign/benign (111)_combined_mask.png,
benign_benign_112,data/Dataset_BUSI_with_GT/benign/benign (112).png,manifests/prepared/busi_masks/benign/benign (112)_combined_mask.png,
benign_benign_113,data/Dataset_BUSI_with_GT/benign/benign (113).png,manifests/prepared/busi_masks/benign/benign (113)_combined_mask.png,
benign_benign_114,data/Dataset_BUSI_with_GT/benign/benign (114).png,manifests/prepared/busi_masks/benign/benign (114)_combined_mask.png,
benign_benign_115,data/Dataset_BUSI_with_GT/benign/benign (115).png,manifests/prepared/busi_masks/benign/benign (115)_combined_mask.png,
benign_benign_116,data/Dataset_BUSI_with_GT/benign/benign (116).png,manifests/prepared/busi_masks/benign/benign (116)_combined_mask.png,
benign_benign_117,data/Dataset_BUSI_with_GT/benign/benign (117).png,manifests/prepared/busi_masks/benign/benign (117)_combined_mask.png,
benign_benign_118,data/Dataset_BUSI_with_GT/benign/benign (118).png,manifests/prepared/busi_masks/benign/benign (118)_combined_mask.png,
benign_benign_119,data/Dataset_BUSI_with_GT/benign/benign (119).png,manifests/prepared/busi_masks/benign/benign (119)_combined_mask.png,
benign_benign_12,data/Dataset_BUSI_with_GT/benign/benign (12).png,manifests/prepared/busi_masks/benign/benign (12)_combined_mask.png,
benign_benign_120,data/Dataset_BUSI_with_GT/benign/benign (120).png,manifests/prepared/busi_masks/benign/benign (120)_combined_mask.png,
benign_benign_121,data/Dataset_BUSI_with_GT/benign/benign (121).png,manifests/prepared/busi_masks/benign/benign (121)_combined_mask.png,
benign_benign_122,data/Dataset_BUSI_with_GT/benign/benign (122).png,manifests/prepared/busi_masks/benign/benign (122)_combined_mask.png,
benign_benign_123,data/Dataset_BUSI_with_GT/benign/benign (123).png,manifests/prepared/busi_masks/benign/benign (123)_combined_mask.png,
benign_benign_124,data/Dataset_BUSI_with_GT/benign/benign (124).png,manifests/prepared/busi_masks/benign/benign (124)_combined_mask.png,
benign_benign_125,data/Dataset_BUSI_with_GT/benign/benign (125).png,manifests/prepared/busi_masks/benign/benign (125)_combined_mask.png,
benign_benign_126,data/Dataset_BUSI_with_GT/benign/benign (126).png,manifests/prepared/busi_masks/benign/benign (126)_combined_mask.png,
benign_benign_127,data/Dataset_BUSI_with_GT/benign/benign (127).png,manifests/prepared/busi_masks/benign/benign (127)_combined_mask.png,
benign_benign_128,data/Dataset_BUSI_with_GT/benign/benign (128).png,manifests/prepared/busi_masks/benign/benign (128)_combined_mask.png,
benign_benign_129,data/Dataset_BUSI_with_GT/benign/benign (129).png,manifests/prepared/busi_masks/benign/benign (129)_combined_mask.png,
benign_benign_13,data/Dataset_BUSI_with_GT/benign/benign (13).png,manifests/prepared/busi_masks/benign/benign (13)_combined_mask.png,
benign_benign_130,data/Dataset_BUSI_with_GT/benign/benign (130).png,manifests/prepared/busi_masks/benign/benign (130)_combined_mask.png,
benign_benign_131,data/Dataset_BUSI_with_GT/benign/benign (131).png,manifests/prepared/busi_masks/benign/benign (131)_combined_mask.png,
benign_benign_132,data/Dataset_BUSI_with_GT/benign/benign (132).png,manifests/prepared/busi_masks/benign/benign (132)_combined_mask.png,
benign_benign_133,data/Dataset_BUSI_with_GT/benign/benign (133).png,manifests/prepared/busi_masks/benign/benign (133)_combined_mask.png,
benign_benign_134,data/Dataset_BUSI_with_GT/benign/benign (134).png,manifests/prepared/busi_masks/benign/benign (134)_combined_mask.png,
benign_benign_135,data/Dataset_BUSI_with_GT/benign/benign (135).png,manifests/prepared/busi_masks/benign/benign (135)_combined_mask.png,
benign_benign_136,data/Dataset_BUSI_with_GT/benign/benign (136).png,manifests/prepared/busi_masks/benign/benign (136)_combined_mask.png,
benign_benign_137,data/Dataset_BUSI_with_GT/benign/benign (137).png,manifests/prepared/busi_masks/benign/benign (137)_combined_mask.png,
benign_benign_138,data/Dataset_BUSI_with_GT/benign/benign (138).png,manifests/prepared/busi_masks/benign/benign (138)_combined_mask.png,
benign_benign_139,data/Dataset_BUSI_with_GT/benign/benign (139).png,manifests/prepared/busi_masks/benign/benign (139)_combined_mask.png,
benign_benign_14,data/Dataset_BUSI_with_GT/benign/benign (14).png,manifests/prepared/busi_masks/benign/benign (14)_combined_mask.png,
benign_benign_140,data/Dataset_BUSI_with_GT/benign/benign (140).png,manifests/prepared/busi_masks/benign/benign (140)_combined_mask.png,
benign_benign_141,data/Dataset_BUSI_with_GT/benign/benign (141).png,manifests/prepared/busi_masks/benign/benign (141)_combined_mask.png,
benign_benign_142,data/Dataset_BUSI_with_GT/benign/benign (142).png,manifests/prepared/busi_masks/benign/benign (142)_combined_mask.png,
benign_benign_143,data/Dataset_BUSI_with_GT/benign/benign (143).png,manifests/prepared/busi_masks/benign/benign (143)_combined_mask.png,
benign_benign_144,data/Dataset_BUSI_with_GT/benign/benign (144).png,manifests/prepared/busi_masks/benign/benign (144)_combined_mask.png,
benign_benign_145,data/Dataset_BUSI_with_GT/benign/benign (145).png,manifests/prepared/busi_masks/benign/benign (145)_combined_mask.png,
benign_benign_146,data/Dataset_BUSI_with_GT/benign/benign (146).png,manifests/prepared/busi_masks/benign/benign (146)_combined_mask.png,
benign_benign_147,data/Dataset_BUSI_with_GT/benign/benign (147).png,manifests/prepared/busi_masks/benign/benign (147)_combined_mask.png,
benign_benign_148,data/Dataset_BUSI_with_GT/benign/benign (148).png,manifests/prepared/busi_masks/benign/benign (148)_combined_mask.png,
benign_benign_149,data/Dataset_BUSI_with_GT/benign/benign (149).png,manifests/prepared/busi_masks/benign/benign (149)_combined_mask.png,
benign_benign_15,data/Dataset_BUSI_with_GT/benign/benign (15).png,manifests/prepared/busi_masks/benign/benign (15)_combined_mask.png,
benign_benign_150,data/Dataset_BUSI_with_GT/benign/benign (150).png,manifests/prepared/busi_masks/benign/benign (150)_combined_mask.png,
benign_benign_151,data/Dataset_BUSI_with_GT/benign/benign (151).png,manifests/prepared/busi_masks/benign/benign (151)_combined_mask.png,
benign_benign_152,data/Dataset_BUSI_with_GT/benign/benign (152).png,manifests/prepared/busi_masks/benign/benign (152)_combined_mask.png,
benign_benign_153,data/Dataset_BUSI_with_GT/benign/benign (153).png,manifests/prepared/busi_masks/benign/benign (153)_combined_mask.png,
benign_benign_154,data/Dataset_BUSI_with_GT/benign/benign (154).png,manifests/prepared/busi_masks/benign/benign (154)_combined_mask.png,
benign_benign_155,data/Dataset_BUSI_with_GT/benign/benign (155).png,manifests/prepared/busi_masks/benign/benign (155)_combined_mask.png,
benign_benign_156,data/Dataset_BUSI_with_GT/benign/benign (156).png,manifests/prepared/busi_masks/benign/benign (156)_combined_mask.png,
benign_benign_157,data/Dataset_BUSI_with_GT/benign/benign (157).png,manifests/prepared/busi_masks/benign/benign (157)_combined_mask.png,
benign_benign_158,data/Dataset_BUSI_with_GT/benign/benign (158).png,manifests/prepared/busi_masks/benign/benign (158)_combined_mask.png,
benign_benign_159,data/Dataset_BUSI_with_GT/benign/benign (159).png,manifests/prepared/busi_masks/benign/benign (159)_combined_mask.png,
benign_benign_16,data/Dataset_BUSI_with_GT/benign/benign (16).png,manifests/prepared/busi_masks/benign/benign (16)_combined_mask.png,
benign_benign_160,data/Dataset_BUSI_with_GT/benign/benign (160).png,manifests/prepared/busi_masks/benign/benign (160)_combined_mask.png,
benign_benign_161,data/Dataset_BUSI_with_GT/benign/benign (161).png,manifests/prepared/busi_masks/benign/benign (161)_combined_mask.png,
benign_benign_162,data/Dataset_BUSI_with_GT/benign/benign (162).png,manifests/prepared/busi_masks/benign/benign (162)_combined_mask.png,
benign_benign_163,data/Dataset_BUSI_with_GT/benign/benign (163).png,manifests/prepared/busi_masks/benign/benign (163)_combined_mask.png,
benign_benign_164,data/Dataset_BUSI_with_GT/benign/benign (164).png,manifests/prepared/busi_masks/benign/benign (164)_combined_mask.png,
benign_benign_165,data/Dataset_BUSI_with_GT/benign/benign (165).png,manifests/prepared/busi_masks/benign/benign (165)_combined_mask.png,
benign_benign_166,data/Dataset_BUSI_with_GT/benign/benign (166).png,manifests/prepared/busi_masks/benign/benign (166)_combined_mask.png,
benign_benign_167,data/Dataset_BUSI_with_GT/benign/benign (167).png,manifests/prepared/busi_masks/benign/benign (167)_combined_mask.png,
benign_benign_168,data/Dataset_BUSI_with_GT/benign/benign (168).png,manifests/prepared/busi_masks/benign/benign (168)_combined_mask.png,
benign_benign_169,data/Dataset_BUSI_with_GT/benign/benign (169).png,manifests/prepared/busi_masks/benign/benign (169)_combined_mask.png,
benign_benign_17,data/Dataset_BUSI_with_GT/benign/benign (17).png,manifests/prepared/busi_masks/benign/benign (17)_combined_mask.png,
benign_benign_170,data/Dataset_BUSI_with_GT/benign/benign (170).png,manifests/prepared/busi_masks/benign/benign (170)_combined_mask.png,
benign_benign_171,data/Dataset_BUSI_with_GT/benign/benign (171).png,manifests/prepared/busi_masks/benign/benign (171)_combined_mask.png,
benign_benign_172,data/Dataset_BUSI_with_GT/benign/benign (172).png,manifests/prepared/busi_masks/benign/benign (172)_combined_mask.png,
benign_benign_173,data/Dataset_BUSI_with_GT/benign/benign (173).png,manifests/prepared/busi_masks/benign/benign (173)_combined_mask.png,
benign_benign_174,data/Dataset_BUSI_with_GT/benign/benign (174).png,manifests/prepared/busi_masks/benign/benign (174)_combined_mask.png,
benign_benign_175,data/Dataset_BUSI_with_GT/benign/benign (175).png,manifests/prepared/busi_masks/benign/benign (175)_combined_mask.png,
benign_benign_176,data/Dataset_BUSI_with_GT/benign/benign (176).png,manifests/prepared/busi_masks/benign/benign (176)_combined_mask.png,
benign_benign_177,data/Dataset_BUSI_with_GT/benign/benign (177).png,manifests/prepared/busi_masks/benign/benign (177)_combined_mask.png,
benign_benign_178,data/Dataset_BUSI_with_GT/benign/benign (178).png,manifests/prepared/busi_masks/benign/benign (178)_combined_mask.png,
benign_benign_179,data/Dataset_BUSI_with_GT/benign/benign (179).png,manifests/prepared/busi_masks/benign/benign (179)_combined_mask.png,
benign_benign_18,data/Dataset_BUSI_with_GT/benign/benign (18).png,manifests/prepared/busi_masks/benign/benign (18)_combined_mask.png,
benign_benign_180,data/Dataset_BUSI_with_GT/benign/benign (180).png,manifests/prepared/busi_masks/benign/benign (180)_combined_mask.png,
benign_benign_181,data/Dataset_BUSI_with_GT/benign/benign (181).png,manifests/prepared/busi_masks/benign/benign (181)_combined_mask.png,
benign_benign_182,data/Dataset_BUSI_with_GT/benign/benign (182).png,manifests/prepared/busi_masks/benign/benign (182)_combined_mask.png,
benign_benign_183,data/Dataset_BUSI_with_GT/benign/benign (183).png,manifests/prepared/busi_masks/benign/benign (183)_combined_mask.png,
benign_benign_184,data/Dataset_BUSI_with_GT/benign/benign (184).png,manifests/prepared/busi_masks/benign/benign (184)_combined_mask.png,
benign_benign_185,data/Dataset_BUSI_with_GT/benign/benign (185).png,manifests/prepared/busi_masks/benign/benign (185)_combined_mask.png,
benign_benign_186,data/Dataset_BUSI_with_GT/benign/benign (186).png,manifests/prepared/busi_masks/benign/benign (186)_combined_mask.png,
benign_benign_187,data/Dataset_BUSI_with_GT/benign/benign (187).png,manifests/prepared/busi_masks/benign/benign (187)_combined_mask.png,
benign_benign_188,data/Dataset_BUSI_with_GT/benign/benign (188).png,manifests/prepared/busi_masks/benign/benign (188)_combined_mask.png,
benign_benign_189,data/Dataset_BUSI_with_GT/benign/benign (189).png,manifests/prepared/busi_masks/benign/benign (189)_combined_mask.png,
benign_benign_19,data/Dataset_BUSI_with_GT/benign/benign (19).png,manifests/prepared/busi_masks/benign/benign (19)_combined_mask.png,
benign_benign_190,data/Dataset_BUSI_with_GT/benign/benign (190).png,manifests/prepared/busi_masks/benign/benign (190)_combined_mask.png,
benign_benign_191,data/Dataset_BUSI_with_GT/benign/benign (191).png,manifests/prepared/busi_masks/benign/benign (191)_combined_mask.png,
benign_benign_192,data/Dataset_BUSI_with_GT/benign/benign (192).png,manifests/prepared/busi_masks/benign/benign (192)_combined_mask.png,
benign_benign_193,data/Dataset_BUSI_with_GT/benign/benign (193).png,manifests/prepared/busi_masks/benign/benign (193)_combined_mask.png,
benign_benign_194,data/Dataset_BUSI_with_GT/benign/benign (194).png,manifests/prepared/busi_masks/benign/benign (194)_combined_mask.png,
benign_benign_195,data/Dataset_BUSI_with_GT/benign/benign (195).png,manifests/prepared/busi_masks/benign/benign (195)_combined_mask.png,
benign_benign_196,data/Dataset_BUSI_with_GT/benign/benign (196).png,manifests/prepared/busi_masks/benign/benign (196)_combined_mask.png,
benign_benign_197,data/Dataset_BUSI_with_GT/benign/benign (197).png,manifests/prepared/busi_masks/benign/benign (197)_combined_mask.png,
benign_benign_198,data/Dataset_BUSI_with_GT/benign/benign (198).png,manifests/prepared/busi_masks/benign/benign (198)_combined_mask.png,
benign_benign_199,data/Dataset_BUSI_with_GT/benign/benign (199).png,manifests/prepared/busi_masks/benign/benign (199)_combined_mask.png,
benign_benign_2,data/Dataset_BUSI_with_GT/benign/benign (2).png,manifests/prepared/busi_masks/benign/benign (2)_combined_mask.png,
benign_benign_20,data/Dataset_BUSI_with_GT/benign/benign (20).png,manifests/prepared/busi_masks/benign/benign (20)_combined_mask.png,
benign_benign_200,data/Dataset_BUSI_with_GT/benign/benign (200).png,manifests/prepared/busi_masks/benign/benign (200)_combined_mask.png,
benign_benign_201,data/Dataset_BUSI_with_GT/benign/benign (201).png,manifests/prepared/busi_masks/benign/benign (201)_combined_mask.png,
benign_benign_202,data/Dataset_BUSI_with_GT/benign/benign (202).png,manifests/prepared/busi_masks/benign/benign (202)_combined_mask.png,
benign_benign_203,data/Dataset_BUSI_with_GT/benign/benign (203).png,manifests/prepared/busi_masks/benign/benign (203)_combined_mask.png,
benign_benign_204,data/Dataset_BUSI_with_GT/benign/benign (204).png,manifests/prepared/busi_masks/benign/benign (204)_combined_mask.png,
benign_benign_205,data/Dataset_BUSI_with_GT/benign/benign (205).png,manifests/prepared/busi_masks/benign/benign (205)_combined_mask.png,
benign_benign_206,data/Dataset_BUSI_with_GT/benign/benign (206).png,manifests/prepared/busi_masks/benign/benign (206)_combined_mask.png,
benign_benign_207,data/Dataset_BUSI_with_GT/benign/benign (207).png,manifests/prepared/busi_masks/benign/benign (207)_combined_mask.png,
benign_benign_208,data/Dataset_BUSI_with_GT/benign/benign (208).png,manifests/prepared/busi_masks/benign/benign (208)_combined_mask.png,
benign_benign_209,data/Dataset_BUSI_with_GT/benign/benign (209).png,manifests/prepared/busi_masks/benign/benign (209)_combined_mask.png,
benign_benign_21,data/Dataset_BUSI_with_GT/benign/benign (21).png,manifests/prepared/busi_masks/benign/benign (21)_combined_mask.png,
benign_benign_210,data/Dataset_BUSI_with_GT/benign/benign (210).png,manifests/prepared/busi_masks/benign/benign (210)_combined_mask.png,
benign_benign_211,data/Dataset_BUSI_with_GT/benign/benign (211).png,manifests/prepared/busi_masks/benign/benign (211)_combined_mask.png,
benign_benign_212,data/Dataset_BUSI_with_GT/benign/benign (212).png,manifests/prepared/busi_masks/benign/benign (212)_combined_mask.png,
benign_benign_213,data/Dataset_BUSI_with_GT/benign/benign (213).png,manifests/prepared/busi_masks/benign/benign (213)_combined_mask.png,
benign_benign_214,data/Dataset_BUSI_with_GT/benign/benign (214).png,manifests/prepared/busi_masks/benign/benign (214)_combined_mask.png,
benign_benign_215,data/Dataset_BUSI_with_GT/benign/benign (215).png,manifests/prepared/busi_masks/benign/benign (215)_combined_mask.png,
benign_benign_216,data/Dataset_BUSI_with_GT/benign/benign (216).png,manifests/prepared/busi_masks/benign/benign (216)_combined_mask.png,
benign_benign_217,data/Dataset_BUSI_with_GT/benign/benign (217).png,manifests/prepared/busi_masks/benign/benign (217)_combined_mask.png,
benign_benign_218,data/Dataset_BUSI_with_GT/benign/benign (218).png,manifests/prepared/busi_masks/benign/benign (218)_combined_mask.png,
benign_benign_219,data/Dataset_BUSI_with_GT/benign/benign (219).png,manifests/prepared/busi_masks/benign/benign (219)_combined_mask.png,
benign_benign_22,data/Dataset_BUSI_with_GT/benign/benign (22).png,manifests/prepared/busi_masks/benign/benign (22)_combined_mask.png,
benign_benign_220,data/Dataset_BUSI_with_GT/benign/benign (220).png,manifests/prepared/busi_masks/benign/benign (220)_combined_mask.png,
benign_benign_221,data/Dataset_BUSI_with_GT/benign/benign (221).png,manifests/prepared/busi_masks/benign/benign (221)_combined_mask.png,
benign_benign_222,data/Dataset_BUSI_with_GT/benign/benign (222).png,manifests/prepared/busi_masks/benign/benign (222)_combined_mask.png,
benign_benign_223,data/Dataset_BUSI_with_GT/benign/benign (223).png,manifests/prepared/busi_masks/benign/benign (223)_combined_mask.png,
benign_benign_224,data/Dataset_BUSI_with_GT/benign/benign (224).png,manifests/prepared/busi_masks/benign/benign (224)_combined_mask.png,
benign_benign_225,data/Dataset_BUSI_with_GT/benign/benign (225).png,manifests/prepared/busi_masks/benign/benign (225)_combined_mask.png,
benign_benign_226,data/Dataset_BUSI_with_GT/benign/benign (226).png,manifests/prepared/busi_masks/benign/benign (226)_combined_mask.png,
benign_benign_227,data/Dataset_BUSI_with_GT/benign/benign (227).png,manifests/prepared/busi_masks/benign/benign (227)_combined_mask.png,
benign_benign_228,data/Dataset_BUSI_with_GT/benign/benign (228).png,manifests/prepared/busi_masks/benign/benign (228)_combined_mask.png,
benign_benign_229,data/Dataset_BUSI_with_GT/benign/benign (229).png,manifests/prepared/busi_masks/benign/benign (229)_combined_mask.png,
benign_benign_23,data/Dataset_BUSI_with_GT/benign/benign (23).png,manifests/prepared/busi_masks/benign/benign (23)_combined_mask.png,
benign_benign_230,data/Dataset_BUSI_with_GT/benign/benign (230).png,manifests/prepared/busi_masks/benign/benign (230)_combined_mask.png,
benign_benign_231,data/Dataset_BUSI_with_GT/benign/benign (231).png,manifests/prepared/busi_masks/benign/benign (231)_combined_mask.png,
benign_benign_232,data/Dataset_BUSI_with_GT/benign/benign (232).png,manifests/prepared/busi_masks/benign/benign (232)_combined_mask.png,
benign_benign_233,data/Dataset_BUSI_with_GT/benign/benign (233).png,manifests/prepared/busi_masks/benign/benign (233)_combined_mask.png,
benign_benign_234,data/Dataset_BUSI_with_GT/benign/benign (234).png,manifests/prepared/busi_masks/benign/benign (234)_combined_mask.png,
benign_benign_235,data/Dataset_BUSI_with_GT/benign/benign (235).png,manifests/prepared/busi_masks/benign/benign (235)_combined_mask.png,
benign_benign_236,data/Dataset_BUSI_with_GT/benign/benign (236).png,manifests/prepared/busi_masks/benign/benign (236)_combined_mask.png,
benign_benign_237,data/Dataset_BUSI_with_GT/benign/benign (237).png,manifests/prepared/busi_masks/benign/benign (237)_combined_mask.png,
benign_benign_238,data/Dataset_BUSI_with_GT/benign/benign (238).png,manifests/prepared/busi_masks/benign/benign (238)_combined_mask.png,
benign_benign_239,data/Dataset_BUSI_with_GT/benign/benign (239).png,manifests/prepared/busi_masks/benign/benign (239)_combined_mask.png,
benign_benign_24,data/Dataset_BUSI_with_GT/benign/benign (24).png,manifests/prepared/busi_masks/benign/benign (24)_combined_mask.png,
benign_benign_240,data/Dataset_BUSI_with_GT/benign/benign (240).png,manifests/prepared/busi_masks/benign/benign (240)_combined_mask.png,
benign_benign_241,data/Dataset_BUSI_with_GT/benign/benign (241).png,manifests/prepared/busi_masks/benign/benign (241)_combined_mask.png,
benign_benign_242,data/Dataset_BUSI_with_GT/benign/benign (242).png,manifests/prepared/busi_masks/benign/benign (242)_combined_mask.png,
benign_benign_243,data/Dataset_BUSI_with_GT/benign/benign (243).png,manifests/prepared/busi_masks/benign/benign (243)_combined_mask.png,
benign_benign_244,data/Dataset_BUSI_with_GT/benign/benign (244).png,manifests/prepared/busi_masks/benign/benign (244)_combined_mask.png,
benign_benign_245,data/Dataset_BUSI_with_GT/benign/benign (245).png,manifests/prepared/busi_masks/benign/benign (245)_combined_mask.png,
benign_benign_246,data/Dataset_BUSI_with_GT/benign/benign (246).png,manifests/prepared/busi_masks/benign/benign (246)_combined_mask.png,
benign_benign_247,data/Dataset_BUSI_with_GT/benign/benign (247).png,manifests/prepared/busi_masks/benign/benign (247)_combined_mask.png,
benign_benign_248,data/Dataset_BUSI_with_GT/benign/benign (248).png,manifests/prepared/busi_masks/benign/benign (248)_combined_mask.png,
benign_benign_249,data/Dataset_BUSI_with_GT/benign/benign (249).png,manifests/prepared/busi_masks/benign/benign (249)_combined_mask.png,
benign_benign_25,data/Dataset_BUSI_with_GT/benign/benign (25).png,manifests/prepared/busi_masks/benign/benign (25)_combined_mask.png,
benign_benign_250,data/Dataset_BUSI_with_GT/benign/benign (250).png,manifests/prepared/busi_masks/benign/benign (250)_combined_mask.png,
benign_benign_251,data/Dataset_BUSI_with_GT/benign/benign (251).png,manifests/prepared/busi_masks/benign/benign (251)_combined_mask.png,
benign_benign_252,data/Dataset_BUSI_with_GT/benign/benign (252).png,manifests/prepared/busi_masks/benign/benign (252)_combined_mask.png,
benign_benign_253,data/Dataset_BUSI_with_GT/benign/benign (253).png,manifests/prepared/busi_masks/benign/benign (253)_combined_mask.png,
benign_benign_254,data/Dataset_BUSI_with_GT/benign/benign (254).png,manifests/prepared/busi_masks/benign/benign (254)_combined_mask.png,
benign_benign_255,data/Dataset_BUSI_with_GT/benign/benign (255).png,manifests/prepared/busi_masks/benign/benign (255)_combined_mask.png,
benign_benign_256,data/Dataset_BUSI_with_GT/benign/benign (256).png,manifests/prepared/busi_masks/benign/benign (256)_combined_mask.png,
benign_benign_257,data/Dataset_BUSI_with_GT/benign/benign (257).png,manifests/prepared/busi_masks/benign/benign (257)_combined_mask.png,
benign_benign_258,data/Dataset_BUSI_with_GT/benign/benign (258).png,manifests/prepared/busi_masks/benign/benign (258)_combined_mask.png,
benign_benign_259,data/Dataset_BUSI_with_GT/benign/benign (259).png,manifests/prepared/busi_masks/benign/benign (259)_combined_mask.png,
benign_benign_26,data/Dataset_BUSI_with_GT/benign/benign (26).png,manifests/prepared/busi_masks/benign/benign (26)_combined_mask.png,
benign_benign_260,data/Dataset_BUSI_with_GT/benign/benign (260).png,manifests/prepared/busi_masks/benign/benign (260)_combined_mask.png,
benign_benign_261,data/Dataset_BUSI_with_GT/benign/benign (261).png,manifests/prepared/busi_masks/benign/benign (261)_combined_mask.png,
benign_benign_262,data/Dataset_BUSI_with_GT/benign/benign (262).png,manifests/prepared/busi_masks/benign/benign (262)_combined_mask.png,
